iter	Logloss
0	0.6929388663
1	0.6928460091
2	0.6928008173
3	0.6926909494
4	0.6926037833
5	0.6925511343
6	0.6925007443
7	0.6924353261
8	0.6922207961
9	0.6921006218
10	0.6918885869
11	0.6918425763
12	0.6917849781
13	0.6916934602
14	0.691586388
15	0.6915223994
16	0.6913433604
17	0.6912424028
18	0.6911765536
19	0.6911672153
20	0.6911671838
21	0.6910942045
22	0.6909140499
23	0.6908507127
24	0.6907988436
25	0.6907428698
26	0.6906640199
27	0.6905663375
28	0.6905182808
29	0.6903723279
30	0.6903429872
31	0.6902830538
32	0.6901927697
33	0.69006649
34	0.690045764
35	0.6899348481
36	0.6897595614
37	0.6896725583
38	0.6895284262
39	0.6894011917
40	0.6893585548
41	0.6892669702
42	0.6891367826
43	0.6890203067
44	0.6889572726
45	0.6888587383
46	0.6887949676
47	0.6887305198
48	0.6886205916
49	0.6886163702
50	0.68861568
