iter	Passed	Remaining
0	72	72715
1	139	69499
2	199	66160
3	258	64372
4	322	64127
5	378	62673
6	450	63938
7	514	63810
8	573	63195
9	633	62705
10	695	62544
11	759	62492
12	840	63840
13	897	63231
14	958	62951
15	1024	63001
16	1093	63216
17	1156	63096
18	1215	62762
19	1233	60454
20	1252	58403
21	1312	58364
22	1373	58343
23	1436	58405
24	1493	58255
25	1544	57868
26	1608	57979
27	1670	57983
28	1730	57928
29	1788	57823
30	1856	58034
31	1927	58297
32	1992	58375
33	2057	58463
34	2084	57476
35	2142	57375
36	2204	57368
37	2257	57154
38	2318	57139
39	2383	57193
40	2442	57121
41	2501	57069
42	2559	56953
43	2614	56806
44	2669	56653
45	2728	56591
46	2779	56356
47	2842	56373
48	2921	56707
49	2961	56267
50	2977	55413
