engineer_id,engineer_name,specialization,support_level,experience_years,shift_type,active_year,total_handled,avg_res_time,sla_success_rate,reopen_rate,category_counts,issue_counts,current_active,active_priorities,bandwidth_status,has_bandwidth
E001,Eng_1,Network,L2,6,Day,2025,1080,1583.1041388888889,0.5925925925925926,0.49537037037037035,"{'Hardware': 550, 'Network': 530}","{'Crash': 299, 'Access': 265, 'Failure': 259, 'Slow': 257}",2,"['P2', 'P2']",Moderate Load,True
E002,Eng_2,Network,L2,7,Day,2025,1074,1568.1709319664492,0.5931098696461825,0.5074487895716946,"{'Hardware': 543, 'Network': 530}","{'Failure': 293, 'Access': 272, 'Crash': 258, 'Slow': 251}",1,['P2'],Available,True
E003,Eng_3,Network,L2,1,Day,2025,1196,1637.1322008368202,0.6195652173913043,0.5016722408026756,"{'Hardware': 598, 'Network': 598}","{'Failure': 324, 'Access': 295, 'Crash': 292, 'Slow': 284}",0,,Available,True
E004,Eng_4,Server,L2,6,Day,2025,1127,1576.0683407275953,0.611357586512866,0.5031055900621118,"{'Hardware': 580, 'Network': 547}","{'Crash': 294, 'Failure': 289, 'Access': 276, 'Slow': 268}",0,,Available,True
E005,Eng_5,Network,L2,6,Day,2025,1133,1648.2557508833922,0.6063548102383054,0.5075022065313327,"{'Hardware': 571, 'Network': 560}","{'Failure': 310, 'Access': 286, 'Crash': 270, 'Slow': 267}",0,,Available,True
E006,Eng_6,Network,L2,4,Day,2025,1075,1579.2032372093024,0.6074418604651163,0.49116279069767443,"{'Hardware': 563, 'Network': 512}","{'Crash': 278, 'Failure': 278, 'Slow': 269, 'Access': 249}",0,,Available,True
E007,Eng_7,Network,L2,6,Day,2025,1146,1676.3946059544658,0.6230366492146597,0.47469458987783597,"{'Network': 594, 'Hardware': 550}","{'Slow': 307, 'Failure': 293, 'Crash': 277, 'Access': 267}",1,['P2'],Available,True
E008,Eng_8,Server,L2,10,Day,2025,1133,1648.711703442189,0.6240070609002648,0.4801412180052957,"{'Network': 575, 'Hardware': 557}","{'Slow': 306, 'Access': 292, 'Failure': 276, 'Crash': 259}",2,"['P1', 'P1']",Moderate Load,True
E009,Eng_9,Network,L2,4,Day,2025,1138,1537.2302552816902,0.6124780316344465,0.5166959578207382,"{'Hardware': 576, 'Network': 562}","{'Crash': 310, 'Slow': 284, 'Failure': 277, 'Access': 265}",0,,Available,True
E010,Eng_10,Network,L2,3,Day,2025,1160,1664.7262726488352,0.5922413793103448,0.5120689655172413,"{'Hardware': 606, 'Network': 553}","{'Failure': 300, 'Slow': 299, 'Crash': 286, 'Access': 275}",1,['P4'],Available,True
E011,Eng_11,Server,L2,1,Day,2025,1076,1491.650288372093,0.6431226765799256,0.48420074349442377,"{'Hardware': 540, 'Network': 534}","{'Access': 303, 'Failure': 274, 'Crash': 261, 'Slow': 237}",0,,Available,True
E012,Eng_12,Network,L2,6,Day,2025,1129,1661.3559698848537,0.5987599645704162,0.5243578387953941,"{'Network': 580, 'Hardware': 548}","{'Crash': 291, 'Access': 284, 'Slow': 278, 'Failure': 276}",0,,Available,True
E013,Eng_13,Server,L2,4,Day,2025,1171,1566.4997606837608,0.609735269000854,0.5081127241673783,"{'Network': 599, 'Hardware': 572}","{'Crash': 302, 'Failure': 298, 'Slow': 287, 'Access': 283}",0,,Available,True
E014,Eng_14,Server,L2,3,Day,2025,1093,1591.828472095151,0.585544373284538,0.505946935041171,"{'Hardware': 568, 'Network': 524}","{'Crash': 289, 'Access': 280, 'Slow': 272, 'Failure': 252}",0,,Available,True
E015,Eng_15,Network,L2,7,Day,2025,1155,1582.0164558058925,0.5696969696969697,0.5004329004329005,"{'Hardware': 603, 'Network': 552}","{'Failure': 315, 'Slow': 288, 'Crash': 286, 'Access': 263}",2,"['P1', 'P1']",Moderate Load,True
E016,Eng_16,Network,L2,8,Day,2025,1053,1608.8491073124408,0.6115859449192782,0.49572649572649574,"{'Network': 539, 'Hardware': 514}","{'Access': 278, 'Crash': 275, 'Failure': 260, 'Slow': 240}",3,"['P2', 'P3', 'P3']",At Capacity,False
E017,Eng_17,Network,L2,4,Day,2025,1132,1656.5735190097257,0.5918727915194346,0.4920494699646643,"{'Network': 586, 'Hardware': 542}","{'Failure': 307, 'Slow': 283, 'Crash': 281, 'Access': 260}",1,['P3'],Available,True
E018,Eng_18,Server,L2,6,Day,2025,1087,1719.3781860036831,0.5639374425022999,0.48942042318307266,"{'Hardware': 576, 'Network': 511}","{'Crash': 289, 'Slow': 287, 'Access': 257, 'Failure': 254}",2,"['P2', 'P3']",Moderate Load,True
E019,Eng_19,Server,L2,4,Day,2025,1137,1655.5215391380827,0.6059806508355321,0.47757255936675463,"{'Network': 595, 'Hardware': 541}","{'Failure': 300, 'Access': 297, 'Crash': 288, 'Slow': 252}",0,,Available,True
E020,Eng_20,Network,L2,1,Day,2025,1196,1616.7954941373534,0.6162207357859532,0.5,"{'Hardware': 606, 'Network': 589}","{'Slow': 317, 'Failure': 311, 'Access': 290, 'Crash': 276}",1,['P3'],Available,True
