year_ticket_id,ticket_priority,ticket_category,issue_type,device_type,specialization,resolution_time_minutes,first_response_time_minutes,sla_breach_flag,service_tier
2023_T0003190,P3,Hardware,Crash,Router,Network,1235.27,6.0,0.0,Gold
2023_T0003143,P2,Hardware,Failure,Server,Server,570.02,7.0,1.0,Gold
2023_T0006262,P4,Hardware,Slow,Firewall,Network,3265.67,10.0,1.0,Silver
2023_T0003386,P2,Network,Crash,Server,Network,545.3,14.0,0.0,Silver
2023_T0001963,P2,Network,Crash,Firewall,Network,350.43,44.0,0.0,Gold
2023_T0000190,P1,Network,Slow,Firewall,Network,757.32,5.0,1.0,Bronze
2023_T0000417,P1,Network,Slow,Router,Network,757.32,5.0,1.0,Bronze
2023_T0001263,P1,Network,Failure,Server,Network,563.22,46.0,1.0,Silver
2023_T0001490,P1,Network,Failure,Switch,Network,281.6,46.0,1.0,Gold
2023_T0003690,P3,Network,Slow,Firewall,Network,1584.27,6.0,1.0,Gold
2023_T0006236,P2,Hardware,Slow,Router,Server,1702.02,46.0,1.0,Bronze
2023_T0005880,P1,Hardware,Access,Switch,Network,210.13,8.0,0.0,Gold
2023_T0002884,P1,Hardware,Failure,Server,Network,545.75,25.0,1.0,Silver
2023_T0001856,P2,Network,Crash,Switch,Network,1718.47,7.0,1.0,Bronze
2023_T0005195,P1,Hardware,Failure,Router,Network,243.07,59.0,1.0,Gold
2023_T0005817,P1,Network,Failure,Router,Server,190.47,19.0,0.0,Gold
2023_T0002207,P3,Hardware,Access,Firewall,Network,1024.83,28.0,0.0,Silver
2023_T0003997,P3,Hardware,Access,Switch,Server,2149.07,35.0,0.0,Bronze
2023_T0005767,P3,Hardware,Access,Firewall,Network,1588.0,59.0,1.0,Gold
2023_T0003747,P2,Hardware,Crash,Switch,Server,1069.58,15.0,0.0,Bronze
2023_T0003329,P4,Hardware,Failure,Switch,Network,2824.73,46.0,0.0,Gold
2023_T0002573,P4,Network,Slow,Server,Network,2766.28,49.0,0.0,Gold
2023_T0006410,P4,Network,Crash,Router,Network,2975.97,57.0,1.0,Silver
2023_T0001815,P1,Network,Failure,Firewall,Network,467.2,22.0,0.0,Silver
2023_T0005716,P3,Network,Access,Firewall,Server,1178.05,44.0,0.0,Gold
2023_T0002352,P3,Network,Failure,Server,Server,1417.8,56.0,0.0,Gold
2023_T0003599,P3,Hardware,Slow,Switch,Server,1580.65,36.0,1.0,Gold
2023_T0005905,P4,Network,Slow,Firewall,Server,3369.23,33.0,1.0,Gold
2023_T0002129,P1,Network,Failure,Router,Network,482.92,56.0,1.0,Silver
2023_T0006133,P1,Hardware,Access,Server,Network,202.18,59.0,0.0,Gold
2023_T0001427,P2,Hardware,Failure,Server,Server,1012.23,6.0,0.0,Bronze
2023_T0004161,P4,Hardware,Slow,Router,Server,2215.58,37.0,0.0,Gold
2023_T0000661,P2,Network,Slow,Router,Server,491.13,39.0,1.0,Gold
2023_T0003241,P3,Network,Slow,Firewall,Server,2595.18,60.0,0.0,Bronze
2023_T0003316,P1,Network,Crash,Server,Network,190.18,40.0,0.0,Gold
2023_T0003028,P1,Network,Crash,Switch,Network,692.02,15.0,0.0,Bronze
2023_T0003952,P4,Hardware,Failure,Router,Network,2980.97,59.0,1.0,Gold
2023_T0002366,P4,Hardware,Access,Router,Network,2636.57,23.0,0.0,Silver
2023_T0005439,P2,Network,Access,Router,Network,385.95,33.0,0.0,Gold
2023_T0000070,P4,Network,Slow,Switch,Server,2661.98,54.0,0.0,Gold
2023_T0000297,P4,Network,Slow,Router,Server,3992.97,54.0,0.0,Bronze
2023_T0004431,P2,Network,Slow,Router,Network,338.73,15.0,0.0,Gold
2023_T0005099,P1,Hardware,Crash,Firewall,Network,,34.0,1.0,Bronze
2023_T0004809,P2,Hardware,Failure,Server,Network,484.35,33.0,1.0,Gold
2023_T0003814,P3,Network,Access,Server,Network,1214.27,41.0,0.0,Gold
2023_T0000940,P1,Network,Access,Switch,Network,265.2,58.0,1.0,Gold
2023_T0001167,P1,Network,Access,Switch,Network,265.2,58.0,1.0,Gold
2023_T0006409,P1,Hardware,Failure,Router,Server,481.45,50.0,1.0,Silver
2023_T0005478,P3,Network,Crash,Switch,Network,3173.6,21.0,1.0,Bronze
2023_T0006129,P3,Hardware,Access,Router,Network,1452.08,43.0,1.0,Gold
2023_T0005110,P1,Hardware,Crash,Firewall,Server,509.6,11.0,0.0,Bronze
2023_T0001681,P3,Network,Access,Switch,Network,1653.37,60.0,1.0,Silver
2023_T0004617,P4,Hardware,Failure,Switch,Network,2724.38,32.0,0.0,Gold
2023_T0006691,P2,Network,Slow,Firewall,Network,426.97,43.0,0.0,Gold
2023_T0000312,P2,Network,Access,Firewall,Network,1096.72,31.0,0.0,Bronze
2023_T0000539,P2,Network,Access,Server,Network,1096.72,31.0,0.0,Bronze
2023_T0006852,P2,Hardware,Slow,Switch,Server,423.87,44.0,0.0,Gold
2023_T0006912,P4,Hardware,Slow,Server,Network,3401.52,46.0,1.0,Gold
2023_T0001614,P2,Hardware,Slow,Server,Network,860.27,32.0,1.0,Silver
2023_T0002235,P2,Network,Slow,Firewall,Network,427.75,25.0,0.0,Gold
2023_T0003587,P1,Network,Crash,Firewall,Server,337.87,57.0,0.0,Silver
2023_T0005066,P1,Network,Access,Server,Network,683.25,60.0,0.0,Bronze
2023_T0003998,P1,Network,Crash,Firewall,Server,382.08,6.0,0.0,Silver
2023_T0002957,P3,Hardware,Crash,Server,Network,1060.17,55.0,0.0,Gold
2023_T0004283,P4,Network,Failure,Switch,Network,2461.2,38.0,0.0,Gold
2023_T0005642,P4,Hardware,Crash,Router,Server,2937.15,5.0,1.0,Gold
2023_T0005165,P2,Network,Access,Firewall,Server,390.52,33.0,0.0,Gold
2023_T0001901,P2,Hardware,Crash,Server,Server,483.9,59.0,1.0,Gold
2023_T0002837,P2,Hardware,Access,Router,Network,1389.17,56.0,0.0,Bronze
2023_T0005696,P3,Hardware,Access,Server,Network,1200.57,20.0,0.0,Gold
2023_T0003339,P2,Hardware,Failure,Firewall,Server,1040.22,9.0,0.0,Bronze
2023_T0005190,P2,Hardware,Slow,Server,Network,395.0,26.0,0.0,Gold
2023_T0000786,P2,Hardware,Slow,Server,Network,554.6,15.0,1.0,Gold
2023_T0001013,P2,Hardware,Slow,Router,Network,1663.83,15.0,1.0,Bronze
2023_T0004841,P4,Network,Slow,Firewall,Network,2602.4,50.0,0.0,Gold
2023_T0002758,P4,Hardware,Slow,Switch,Network,3537.17,55.0,0.0,Bronze
2023_T0006349,P2,Hardware,Crash,Server,Network,1556.32,32.0,1.0,Bronze
2023_T0003092,P3,Network,Failure,Switch,Network,1225.78,21.0,0.0,Silver
2023_T0001047,P1,Hardware,Failure,Server,Network,526.17,53.0,1.0,Silver
2023_T0001975,P3,Network,Slow,Router,Network,2870.72,31.0,0.0,Bronze
