year_ticket_id,ticket_priority,ticket_category,issue_type,service_tier,client_id,engineer_id,sla_breach_prob,sla_risk_tier,sla_breach_flag,response_time_target_minutes,resolution_time_target_minutes
2023_T0000417,P1,Network,Slow,Bronze,C022,E017,0.5099,Medium,1.0,120.0,720.0
2024_T0004377,P3,Network,Failure,Bronze,C005,E015,0.5095,Medium,0.0,480.0,2880.0
2024_T0007892,P1,Network,Access,Bronze,C005,E008,0.5095,Medium,1.0,120.0,720.0
2024_T0009190,P2,Network,Failure,Bronze,C005,E004,0.5095,Medium,1.0,240.0,1440.0
2024_T0006225,P4,Hardware,Crash,Bronze,C005,E008,0.5095,Medium,1.0,720.0,4320.0
2023_T0003940,P4,Network,Crash,Silver,C003,E004,0.5095,Medium,0.0,480.0,2880.0
2023_T0003596,P1,Hardware,Access,Silver,C003,E006,0.5095,Medium,0.0,60.0,480.0
2023_T0004009,P1,Network,Crash,Silver,C010,E018,0.5095,Medium,1.0,60.0,480.0
2023_T0002494,P4,Hardware,Crash,Gold,C016,E003,0.5088,Medium,1.0,240.0,2880.0
2023_T0003746,P3,Hardware,Access,Silver,C015,E009,0.5088,Medium,1.0,240.0,1440.0
2023_T0005809,P3,Network,Crash,Gold,C016,E020,0.5088,Medium,1.0,120.0,1440.0
2023_T0002309,P2,Hardware,Access,Gold,C016,E001,0.5088,Medium,1.0,60.0,480.0
2023_T0000311,P2,Hardware,Slow,Gold,C016,E010,0.5088,Medium,0.0,60.0,480.0
2023_T0002372,P3,Network,Crash,Gold,C016,E020,0.5088,Medium,1.0,120.0,1440.0
2023_T0006396,P3,Hardware,Slow,Silver,C015,E012,0.5088,Medium,0.0,240.0,1440.0
2023_T0005817,P1,Network,Failure,Gold,C008,E018,0.5088,Medium,0.0,30.0,240.0
2023_T0002657,P2,Hardware,Access,Gold,C016,E007,0.5088,Medium,1.0,60.0,480.0
2023_T0005240,P1,Hardware,Slow,Gold,C016,E012,0.5088,Medium,0.0,30.0,240.0
2023_T0004251,P2,Hardware,Failure,Gold,C016,E015,0.5088,Medium,0.0,60.0,480.0
2023_T0000039,P1,Network,Failure,Gold,C008,E019,0.5088,Medium,0.0,30.0,240.0
2023_T0001764,P4,Hardware,Failure,Gold,C016,E020,0.5088,Medium,1.0,240.0,2880.0
2023_T0003828,P2,Hardware,Failure,Gold,C007,E011,0.5088,Medium,0.0,60.0,480.0
2023_T0004924,P3,Network,Slow,Silver,C015,E017,0.5088,Medium,0.0,240.0,1440.0
2023_T0004037,P4,Network,Access,Gold,C016,E011,0.5088,Medium,1.0,240.0,2880.0
2023_T0005419,P1,Network,Failure,Gold,C007,E011,0.5088,Medium,1.0,30.0,240.0
2023_T0005628,P3,Network,Failure,Gold,C016,E009,0.5088,Medium,1.0,120.0,1440.0
2023_T0004922,P2,Network,Failure,Gold,C016,E010,0.5088,Medium,0.0,60.0,480.0
2023_T0006753,P2,Network,Slow,Silver,C015,E008,0.5088,Medium,0.0,120.0,720.0
2023_T0002813,P2,Hardware,Slow,Gold,C016,E020,0.5088,Medium,0.0,60.0,480.0
2023_T0003143,P2,Hardware,Failure,Gold,C016,E019,0.5088,Medium,1.0,60.0,480.0
2023_T0005704,P3,Hardware,Slow,Silver,C015,E007,0.5088,Medium,0.0,240.0,1440.0
2023_T0000876,P2,Hardware,Failure,Gold,C016,E018,0.5088,Medium,1.0,60.0,480.0
2023_T0005746,P3,Hardware,Crash,Gold,C016,E007,0.5088,Medium,1.0,120.0,1440.0
2023_T0003460,P4,Hardware,Slow,Gold,C016,E006,0.5088,Medium,1.0,240.0,2880.0
2023_T0005371,P4,Network,Crash,Gold,C007,E001,0.5088,Medium,0.0,240.0,2880.0
2023_T0001600,P3,Hardware,Slow,Gold,C016,E018,0.5088,Medium,1.0,120.0,1440.0
2023_T0000049,P4,Hardware,Crash,Gold,C016,E010,0.5088,Medium,1.0,240.0,2880.0
2023_T0005866,P3,Hardware,Slow,Gold,C016,E018,0.5088,Medium,1.0,120.0,1440.0
2023_T0002015,P2,Hardware,Slow,Gold,C016,E014,0.5088,Medium,0.0,60.0,480.0
