year_ticket_id,ticket_id,ticket_category,ticket_priority,issue_type,ticket_channel,ticket_status,ticket_description,sla_breach_prob,sla_risk_tier,client_id,service_tier,device_type,engineer_id,resolution_time_minutes,first_response_time_minutes,sla_num
2025_T0004606,T0004606,Network,P1,Crash,Email,Closed,Core switch rebooted unexpectedly.,0.4996,Medium,C016,Gold,Server,E019,251.27,14.0,1.0
2025_T0007449,T0007449,Hardware,P4,Failure,Email,Closed,Server 04 failing to POST.,0.4997,Medium,C001,Gold,Router,E014,2592.65,10.0,0.0
2025_T0006308,T0006308,Network,P3,Failure,Email,Closed,Total loss of connectivity in Sector B.,0.5004,Medium,C009,Bronze,Router,E008,2432.47,30.0,0.0
2025_T0008871,T0008871,Hardware,P1,Access,Portal,Closed,Physical port unresponsive.,0.4992,Medium,C022,Bronze,Server,E013,637.57,38.0,0.0
2025_T0005475,T0005475,Hardware,P2,Crash,Email,Closed,System thermal shutdown.,0.5005,Medium,C011,Bronze,Server,E008,1127.12,26.0,0.0
2025_T0007117,T0007117,Network,P1,Crash,Portal,Closed,Core switch rebooted unexpectedly.,0.4992,Medium,C011,Bronze,Server,E003,759.25,15.0,1.0
2025_T0007108,T0007108,Hardware,P3,Failure,Portal,Closed,Server 04 failing to POST.,0.4997,Medium,C024,Bronze,Router,E012,2594.47,39.0,0.0
2025_T0007054,T0007054,Network,P3,Failure,Email,Closed,Total loss of connectivity in Sector B.,0.4992,Medium,C023,Gold,Firewall,E019,1126.75,30.0,0.0
2025_T0009641,T0009641,Network,P1,Crash,Portal,Closed,Core switch rebooted unexpectedly.,0.5004,Medium,C020,Gold,Router,E007,202.65,24.0,0.0
2025_T0003521,T0003521,Network,P3,Crash,Email,Closed,Core switch rebooted unexpectedly.,0.4996,Medium,C015,Silver,Firewall,E003,1545.37,14.0,1.0
2025_T0003695,T0003695,Network,P1,Crash,Portal,Closed,Core switch rebooted unexpectedly.,0.4996,Medium,C005,Bronze,Server,E010,547.47,27.0,0.0
2025_T0009613,T0009613,Network,P3,Access,Portal,Closed,VPN authentication failing.,0.4997,Medium,C018,Gold,Router,E002,1467.17,48.0,1.0
2025_T0009038,T0009038,Network,P1,Crash,Portal,Closed,Core switch rebooted unexpectedly.,0.5007,Medium,C016,Gold,Router,E019,228.9,10.0,0.0
2025_T0006978,T0006978,Hardware,P2,Failure,Portal,Closed,Server 04 failing to POST.,0.4996,Medium,C019,Gold,Router,E020,414.52,38.0,0.0
2025_T0008594,T0008594,Network,P2,Access,Email,Closed,VPN authentication failing.,0.4997,Medium,C020,Gold,Firewall,E008,565.93,35.0,1.0
2025_T0010310,T0010310,Hardware,P2,Crash,Email,Closed,System thermal shutdown.,0.4996,Medium,C001,Gold,Firewall,E006,525.58,31.0,1.0
2025_T0008089,T0008089,Hardware,P2,Access,Email,Closed,Physical port unresponsive.,0.4996,Medium,C016,Gold,Server,E019,393.25,8.0,0.0
